rec,address,code2,code,count,lat,lng
1,四川省绵阳市涪城区金峰镇莲花池村委会二组,510703108207,510703108207,1345,31.348228650,104.651356559
1,四川省绵阳市涪城区金峰镇莲花池村民委员会,510703108208,510703108208,1299,31.348228650,104.651356559
1,四川省绵阳市江油市太平镇双胜村六组,510781101213,510781101213,2162,31.744064703,104.702184319
1,四川省梓潼县小垭乡小垭村民委员会,510725203206,510725203206,558,31.875194595,105.197322557
1,四川省梓潼县小垭乡金城村民委员会,510725203207,510725203207,720,31.873892766,105.198619276
1,四川省平武县高村乡青坪村民委员会,510727200206,510727200206,330,32.415545679,104.715935228
1,四川省绵阳市梓潼县小垭乡永红村委会五组,510725203208,510725203208,608,31.873892766,105.198619276
1,四川省盐亭县三元乡双泉村民委员会,510723203201,510723203201,908,31.185751646,105.578692402
1,四川省盐亭县三元乡柏林村民委员会,510723203202,510723203202,1194,31.199918595,105.578931987
1,四川省绵阳市盐亭县三元乡白马村委会二组,510723203203,510723203203,766,31.181670564,105.571386459
1,四川省盐亭县三元乡枣园村民委员会,510723203204,510723203204,754,31.192185796,105.550379256
1,四川省绵阳市游仙区云凤乡云凤社区居委会一组,510704117001,510704117001,297,31.620823106,104.807345744
1,四川省盐亭县三元乡保安村民委员会,510723203206,510723203206,863,31.204385628,105.541148510
1,四川省绵阳市盐亭县三元乡会仙村委会八组,510723203207,510723203207,809,31.196036573,105.555783589
1,四川省绵阳市盐亭县三元乡金鸭村委会六组,510723203208,510723203208,1149,31.196036573,105.555783589
1,四川省盐亭县三元乡宏济村民委员会,510723203209,510723203209,710,31.196036573,105.555783589
1,四川省绵阳市游仙区试验区六里社区五组,510704700001,510704700001,5863,31.492092157,104.774085018
1,四川省绵阳市江油市中坝镇城北村委会一组,510781100203,510781100203,2530,31.792663035,104.747126939
1,四川省三台县双乐乡社区居民委员会,510722212001,510722212001,280,30.861253286,105.234834897
1,四川省绵阳市北川县曲山镇杨柳坪村委会3组四川省绵阳市北川县曲山镇杨柳坪村委会3组,510726103202,510726103202,364,31.830042300,104.459693540
1,四川省绵阳市北川羌族自治县曲山镇景家村委会,510726103203,510726103203,1073,31.811923925,104.458843781
1,四川省绵阳市北川羌族自治县曲山镇石椅村委会2组,510726103204,510726103204,451,31.811923925,104.458843781
1,四川省绵阳市北川县曲山镇安子坪村委会2组,510726103205,510726103205,600,31.830042300,104.459693540
1,四川省绵阳市北川县曲山镇大水村委会五组,510726103206,510726103206,461,31.830042300,104.459693540
1,四川省绵阳市北川羌族自治县曲山镇曹山村委会4组,510726103207,510726103207,470,31.811923925,104.458843781
1,四川省绵阳市北川羌族自治县曲山镇华林村委会1组,510726103208,510726103208,363,31.811923925,104.458843781
1,四川省三台县争胜乡争胜村民委员会,510722220201,510722220201,1571,31.195205928,105.033485104
1,四川省三台县争胜乡木鱼村民委员会,510722220202,510722220202,2927,31.196251604,105.032531413
1,四川省三台县争胜乡双汇村民委员会,510722220203,510722220203,973,31.216819870,105.043553983
1,四川省绵阳市三台县争胜乡花庙村委会二组,510722220204,510722220204,730,31.196251604,105.032531413
1,四川省三台县争胜乡长青村民委员会,510722220205,510722220205,655,31.188485324,105.042684543
1,四川省绵阳市三台县争胜乡高桥村委会三组,510722220206,510722220206,444,31.172380416,105.043574928
1,四川省绵阳市三台县争胜乡青皮村委会,510722220207,510722220207,1375,31.196251604,105.032531413
1,四川省绵阳市北川县曲山镇黄家坝村委会三,510726103216,510726103216,1091,31.830042300,104.459693540
1,四川省绵阳市游仙区梓棉乡梓棉乡社区居民委员会,510704206001,510704206001,339,31.400637563,105.032708329
1,四川省绵阳市北川羌族自治县曲山镇棕树村委会1组,510726103218,510726103218,300,31.811923925,104.458843781
1,四川省绵阳市北川县曲山镇小南村委会1组,510726103219,510726103219,241,31.830042300,104.459693540
1,四川省绵阳市北川羌族自治县曲山镇油房沟村委会七组,510726103220,510726103220,385,31.811923925,104.458843781
1,四川省绵阳市涪城区关帝镇猫林村村委会四组,510703101201,510703101201,609,31.360587766,104.783420299
1,四川省绵阳市江油市枫顺乡红枫社区一组,510781219001,510781219001,134,32.244153704,105.060936794
1,四川省绵阳市涪城区关帝镇大树村民委员会,510703101202,510703101202,873,31.327613868,104.790060565
1,四川省绵阳市涪城区关帝镇拱桥村村委会八组,510703101203,510703101203,1266,31.326742869,104.793878910
1,四川省绵阳市梓潼县经技园区南桥村委会十二组,510725700201,510725700201,3436,31.624125366,105.171739319
1,四川省绵阳市涪城区关帝镇齐心村民委员会,510703101204,510703101204,1570,31.318160057,104.803847592
1,四川省绵阳市梓潼县东石乡三八村委会一组,510725200203,510725200203,759,31.584009186,105.176868364
1,四川省绵阳市涪城区关帝镇清水村民委员会,510703101205,510703101205,1240,31.336854021,104.776559002
1,四川省绵阳市北川县马槽乡黑亭村委会,510726212203,510726212203,207,31.830042300,104.459693540
1,四川省绵阳市北川羌族自治县马槽乡花桥村委会四组,510726212204,510726212204,271,31.896581916,104.107006546
1,四川省北川羌族自治县青片乡茶湾村民委员会,510726212205,510726212205,492,32.031962526,104.023955271
1,四川省绵阳市北川县马槽乡黑水村委会,510726212206,510726212206,583,31.830042300,104.459693540
1,四川省江油市武都镇放羊村民委员会,510781107218,510781107218,1,31.884977934,104.789439705
1,四川省绵阳市盐亭县黄甸镇黄甸居委会一组,510723105001,510723105001,2923,31.209825612,105.491633378
1,四川省江油市太平镇龙门村民委员会,510781101217,510781101217,1618,31.760298681,104.696007843
1,四川省盐亭县巨龙镇金钟村民委员会,510723113201,510723113201,976,31.156848567,105.348136099
1,四川省盐亭县巨龙镇五和村民委员会,510723113202,510723113202,835,31.156848567,105.348136099
1,四川省绵阳市盐亭县巨龙镇凤林村民委员会,510723113203,510723113203,735,31.174203462,105.351913103
1,四川省盐亭县巨龙镇裕民村民委员会,510723113204,510723113204,981,31.188329667,105.364421448
1,四川省绵阳市游仙区新桥镇新桥镇社区居民委员会,510704102001,510704102001,3765,31.559889161,104.818851268
1,四川省盐亭县巨龙镇通垭村民委员会,510723113206,510723113206,902,31.156848567,105.348136099
1,四川省绵阳市盐亭县巨龙镇文昌村委会8社,510723113207,510723113207,809,31.156848567,105.348136099
1,四川省盐亭县巨龙镇五里村民委员会,510723113208,510723113208,1045,31.156848567,105.348136099
1,四川省绵阳市盐亭县巨龙镇石碑7社,510723113209,510723113209,871,31.156848567,105.348136099
1,四川省绵阳市盐亭县巨龙镇梅花村委会11社,510723113210,510723113210,1488,31.197412408,105.383733752
1,四川省绵阳市游仙区新桥镇桩子村三组,510704102002,510704102002,1720,31.557764138,104.816714566
1,四川省绵阳市科创虹色景苑18-162,510776001003,510776001003,3419,31.496786306,104.725829843
1,四川省梓潼县小垭乡泉胜村民委员会,510725203204,510725203204,875,31.873892766,105.198619276
1,四川省江油市太平镇天池村民委员会,510781101218,510781101218,2615,31.763576467,104.678866536
1,四川省江油市新兴乡桅杆村民委员会,510781209205,510781209205,1158,31.850626608,104.957204778
1,四川省绵阳市北川县陈家坝乡大竹村,510726005006,510726005006,1,31.942048811,104.593134703
1,四川省绵阳市北川县陈家坝乡青林村一组,510726005008,510726005008,1,31.939427478,104.575963907
1,四川省绵阳市三台县万安镇万安社区居委会一组,510722122001,510722122001,579,31.022346618,104.945416209
1,四川省江油市新兴乡花碑村民委员会,510781209206,510781209206,1775,31.850626608,104.957204778
1,四川省绵阳市北川县陈家坝乡太洪村二组,510726005015,510726005015,1,31.969096417,104.608523864
1,四川省绵阳市三台县光辉镇茯苓村委会一组,510722130201,510722130201,1434,31.313146762,105.025517100
1,四川省三台县光辉镇柳林子村民委员会,510722130202,510722130202,1901,31.313146762,105.025517100
1,四川省三台县光辉镇严坪村民委员会,510722130203,510722130203,1544,31.313146762,105.025517100
1,四川省三台县光辉镇黎阁村民委员会,510722130204,510722130204,1762,31.313146762,105.025517100
1,四川省绵阳市三台县光辉镇华泉村委会五组,510722130205,510722130205,925,31.318928079,105.018878187
1,四川省绵阳市三台县光辉镇望江村委会二组,510722130206,510722130206,1369,31.313146762,105.025517100
1,四川省绵阳市三台县光辉镇金家湾村九组,510722130207,510722130207,1770,31.313146762,105.025517100
1,四川省三台县光辉镇新河村民委员会,510722130208,510722130208,656,31.288941883,105.024266397
1,四川省三台县光辉镇大治桥村民委员会,510722130209,510722130209,1534,31.313146762,105.025517100
1,四川省绵阳市江油市武都镇汝州社区,510781107004,510781107004,7,31.884977934,104.789439705
1,四川省绵阳市江油市太平镇普照村委会七组,510781101219,510781101219,2895,31.766626926,104.728645132
1,四川省绵阳市涪城区丰谷镇团结村民委员会,510703100201,510703100201,1719,31.349958819,104.836080978
1,四川省绵阳市涪城区丰谷镇胜利村村委会四社,510703100202,510703100202,825,31.346033287,104.828163908
1,四川省绵阳市涪城区丰谷镇工农村民委员会,510703100203,510703100203,1240,31.359803726,104.832058979
1,四川省绵阳市涪城区丰谷镇新建村民委员会,510703100204,510703100204,920,31.339143211,104.819079198
1,四川省绵阳市涪城区丰谷镇和平村村委会六社,510703100205,510703100205,1132,31.334635946,104.812839278
1,四川省绵阳市涪城区丰谷镇民杨村村委会四社,510703100206,510703100206,934,31.346236831,104.806281186
